DATE,CONTENT_TYPE,TLD,APPROVED_CONTENT
"2022-05-24","Salaries","glassdoor.com",22884
"2022-05-24","Reviews","glassdoor.com",12522
"2022-05-24","Salaries","glassdoor.co.in",4037
"2022-05-24","Salaries","glassdoor.co.uk",3851
"2022-05-24","Salaries","glassdoor.com.br",3528
"2022-05-24","Reviews","glassdoor.co.in",3158
"2022-05-24","Reviews","glassdoor.com.br",2319
"2022-05-24","Salaries","glassdoor.ca",1873
"2022-05-24","Reviews","glassdoor.co.uk",1799
"2022-05-24","INTERVIEW_QUESTIONS","glassdoor.com",1442
"2022-05-24","Interviews","glassdoor.com",1352
"2022-05-24","BENEFIT_OVERVIEW","glassdoor.com",1323
"2022-05-24","Employer_Response","glassdoor.com",1205
"2022-05-24","Reviews","glassdoor.ca",1045
"2022-05-24","Salaries","glassdoor.fr",1035
"2022-05-24","Benefit_Detail","glassdoor.com",836
"2022-05-24","Salaries","glassdoor.com.au",822
"2022-05-24","Salaries","glassdoor.de",645
"2022-05-24","Salaries","glassdoor.com.mx",628
"2022-05-24","Reviews","glassdoor.fr",619
"2022-05-24","Salaries","glassdoor.es",524
"2022-05-24","Interview_Answer","UNKNOWN",521
"2022-05-24","Photos","glassdoor.com",510
"2022-05-24","Salaries","glassdoor.com.ar",456
"2022-05-24","Reviews","glassdoor.com.mx",416
"2022-05-24","Reviews","glassdoor.com.au",395
"2022-05-24","INTERVIEW_QUESTIONS","glassdoor.co.in",334
"2022-05-24","Interviews","glassdoor.co.in",316
"2022-05-24","Salaries","glassdoor.ie",312
"2022-05-24","Reviews","glassdoor.sg",303
"2022-05-24","Salaries","glassdoor.nl",280
"2022-05-24","Reviews","glassdoor.com.ar",273
"2022-05-24","Benefit_Detail","glassdoor.com.br",272
"2022-05-24","Reviews","glassdoor.de",271
"2022-05-24","Reviews","glassdoor.es",262
"2022-05-24","BENEFIT_OVERVIEW","glassdoor.com.br",250
"2022-05-24","INTERVIEW_QUESTIONS","glassdoor.co.uk",225
"2022-05-24","Salaries","glassdoor.it",217
"2022-05-24","Interviews","glassdoor.co.uk",209
"2022-05-24","Employer_Response","glassdoor.co.in",203
"2022-05-24","Employer_Response","glassdoor.co.uk",182
"2022-05-24","Salaries","glassdoor.sg",180
"2022-05-24","BENEFIT_OVERVIEW","glassdoor.co.uk",164
"2022-05-24","INTERVIEW_QUESTIONS","glassdoor.com.br",160
"2022-05-24","Reviews","glassdoor.ie",159
"2022-05-24","BENEFIT_OVERVIEW","glassdoor.co.in",158
"2022-05-24","Interviews","glassdoor.com.br",154
"2022-05-24","Reviews","glassdoor.it",140
"2022-05-24","Photos","glassdoor.co.in",118
"2022-05-24","Reviews","glassdoor.com.hk",117
"2022-05-24","BENEFIT_OVERVIEW","glassdoor.ca",115
"2022-05-24","INTERVIEW_QUESTIONS","glassdoor.ca",115
"2022-05-24","Interviews","glassdoor.ca",111
"2022-05-24","Benefit_Detail","glassdoor.co.in",107
"2022-05-24","Employer_Response","glassdoor.ca",106
"2022-05-24","Reviews","glassdoor.nl",103
"2022-05-24","Benefit_Detail","glassdoor.co.uk",91
"2022-05-24","Photos","glassdoor.co.uk",86
"2022-05-24","Salaries","fr.glassdoor.ca",83
"2022-05-24","Awards","glassdoor.com",81
"2022-05-24","Salaries","nl.glassdoor.be",80
"2022-05-24","Employer_Response","glassdoor.com.br",75
"2022-05-24","Salaries","glassdoor.co.nz",71
"2022-05-24","Salaries","fr.glassdoor.ch",70
"2022-05-24","BENEFIT_OVERVIEW","glassdoor.fr",66
"2022-05-24","INTERVIEW_QUESTIONS","glassdoor.fr",62
"2022-05-24","Salaries","fr.glassdoor.be",61
"2022-05-24","Salaries","glassdoor.com.hk",59
"2022-05-24","Employer_Response","glassdoor.com.au",59
"2022-05-24","Interviews","glassdoor.fr",59
"2022-05-24","Benefit_Detail","glassdoor.ca",56
"2022-05-24","Interviews","glassdoor.de",54
"2022-05-24","Salaries","de.glassdoor.ch",54
